WetlandName,SurvYear,WetlandArea,SurveyArea,PercentFilled,SumOfCount,SurveyRecords,SpeciesRichness,SumOfNests,SumOfBroods,LatitudeDec,LongitudeDec
Lake Buloke,2016,4354.0,3918.6,90.0,2047,26,17,12,0,-36.2452,142.9781
Lake Cowal,2016,13034.0,14851.8,113.95,14418,95,33,335,8,-33.55981,147.434325
Lake Hindmarsh,2016,13501.0,12150.9,90.0,1966,29,17,9,1,-36.0508,141.9066
Lake Mokoan,2016,2641.0,1056.4,40.0,259,12,9,4,5,-36.4599,146.0911
Lindsay-Walpolla-Chowilla,2016,963.0,898.6,93.31,6111,69,24,1322,4,-34.191124,140.67308
Lowbidgee floodplain,2016,2315.0,2315.0,100.0,50873,56,18,21795,0,-34.550575,143.696425
Macquarie Marshes,2016,103327.0,85761.41,83.0,254510,34,34,297,248,-30.8812,147.6092
Menindee lakes,2016,42811.0,23449.4,54.77,1660,72,19,0,0,-32.32795,142.46186
Murray River and Euston Lakes,2016,1405.0,1405.0,100.0,135,9,7,0,0,-34.5361,142.863
Narran lakes,2016,30854.0,30428.6,98.62,23552,80,26,4,0,-29.773833,147.4191
Noora Evaporation Basin,2016,9245.0,924.5,10.0,521,6,6,0,0,-34.4213,140.8608
Paroo overflow lakes complex,2016,10790.0,7128.9,66.07,1542,80,23,40,25,-30.616575,143.772175
Pyap Lagoon,2016,60.0,60.0,100.0,65,14,11,0,0,-34.3872,140.453
River Murray Channel,2016,424.5,464.48,109.42,601,29,13,0,0,-35.2107,143.03566
Split Rock Reservoir,2016,200.0,100.0,50.0,379,8,8,0,0,-30.5517,150.6858
Tallywalka system,2016,11223.0,0.0,0.0,132,14,9,0,0,-32.49705,143.336833
Upper Darling River,2016,71969.0,51795369.61,71969.0,104,9,9,0,0,-30.5178,145.1495
Waranga Basin,2016,5285.0,279312.25,5285.0,128,7,7,0,0,-36.5503,145.0961
Yantabulla,2016,113214.0,5660.7,5.0,1900,16,16,0,0,-29.2501,144.9052
Banrock Station Wetland Complex,2017,290.0,290.0,100.0,864,25,15,90,0,-34.1968,140.3379
Barmah-Millewa,2017,2792.0,2100.9,75.25,3896,101,23,143,1,-35.880729,144.969771
Booligal wetlands,2017,984.0,582.8,59.23,11608,94,27,0,2,-33.933683,144.5755
Coolmunda Dam,2017,1640.0,1312.0,80.0,14564,37,21,0,0,-28.4402,151.2352
"Coorong, Lower Lakes and Murray Mouth",2017,142289.5,142289.5,100.0,210181,303,51,19045,60,-35.6975,139.22206
Corop wetlands complex,2017,2131.0,1168.3,54.82,64590,138,38,6,0,-36.473488,144.8406
Currawinya Lakes,2017,6717.0,0.0,0.0,0,2,1,0,0,-28.7074,144.28765
Darling Anabranch,2017,26596.0,0.0,0.0,0,6,1,0,0,-33.33538,141.83104
Fivebough Swamp,2017,282.0,112.8,40.0,4533,19,11,0,0,-34.5271,146.4408
Great Cumbung Swamp,2017,31641.5,40.9,0.13,3839,51,22,0,0,-34.2393,144.008375
Gunbower-Koondrook-Perricoota,2017,68.0,60.0,88.24,80,10,8,0,0,-35.867767,144.403067
Gwydir Wetlands,2017,563.0,11.77,2.09,3506,94,30,0,0,-29.326414,149.311657
Hattah Lakes,2017,1013.2,832.2,82.14,4681,83,22,13,1,-34.73261,142.37046
Kerang Wetlands,2017,183.0,183.0,100.0,406,10,7,229,0,-35.6799,143.8799
Kerang wetlands,2017,3007.06,2856.19,94.98,60004,166,37,4763,12,-35.606317,143.7912
Lake Brewster,2017,4882.0,3905.6,80.0,18257,44,25,20,0,-33.482,145.9735
Lake Cowal,2017,9089.0,9089.0,100.0,10843,56,31,334,0,-33.6208,147.49
Lake Mokoan,2017,2641.0,528.2,20.0,23245,49,27,2,4,-36.4599,146.0911
Lindsay-Walpolla-Chowilla,2017,900.0,809.1,89.9,35065,155,35,71,0,-34.208833,140.67315
Lowbidgee floodplain,2017,2352.0,1999.0,84.99,9164,67,28,0,10,-34.55714,143.73996
Macquarie Marshes,2017,103327.0,8098.0,7.84,15900,20,20,0,0,-30.881156,147.609206
Menindee lakes,2017,39929.51,22483.16,56.31,122365,265,40,5,0,-32.32795,142.46186
Murray River and Euston Lakes,2017,2880.0,1405.0,48.78,964,41,17,0,0,-34.5484,142.8828
Narran lakes,2017,5898.0,0.0,0.0,0,3,1,0,0,-29.773833,147.4191
Noora Evaporation Basin,2017,5266.0,4212.8,80.0,1159,5,5,0,0,-34.4213,140.8608
Paroo overflow lakes complex,2017,10551.0,331.6,3.14,6822,38,14,0,0,-30.616575,143.772175
River Murray Channel,2017,655.4,655.4,100.0,791,47,19,0,0,-35.2107,143.03566
Banrock Station Wetland Complex,2018,2293.0,1605.1,70.0,1319,34,19,110,4,-34.196838,140.337924
Barmah-Millewa,2018,2792.0,1157.55,41.46,1478,83,24,2,4,-35.880732,144.969779
Booligal wetlands,2018,984.0,5.7,0.58,3098,55,22,0,1,-33.93369,144.575501
Burrendong Dam,2018,6059.0,3029.5,50.0,394,13,13,0,0,-32.688561,149.186707
Coolmunda Dam,2018,1640.0,656.0,40.0,4161,26,26,0,0,-28.440249,151.235194
"Coorong, Lower Lakes and Murray Mouth",2018,142289.5,121878.5,85.66,275518,283,47,6376,912,-35.697504,139.222073
Corop wetlands complex,2018,2050.0,286.2,13.96,7911,79,28,62,0,-36.467057,144.837963
Cuttaburra channels,2018,5788.0,0.0,0.0,0,1,1,0,0,-30.508687,144.241803
Fivebough Swamp,2018,309.0,46.35,15.0,3257,25,15,0,0,-34.527134,146.440821
Great Cumbung Swamp,2018,31470.2,9384.12,29.82,2490,68,28,0,0,-34.239302,144.008384
Gunbower-Koondrook-Perricoota,2018,65.44,48.0,73.35,113,13,10,0,0,-35.846482,144.386402
Gwydir Wetlands,2018,552.0,91.7,16.61,21967,152,35,0,0,-29.326397,149.311674
Hattah Lakes,2018,1323.7,779.41,58.88,4532,141,25,0,0,-34.735205,142.370912
Kerang wetlands,2018,3377.95,2399.13,71.02,35720,143,30,280,1,-35.61682,143.803866
Kiewa River,2018,3550.0,355.0,10.0,1326,6,6,0,0,-36.514467,147.080822
Lake Brewster,2018,4882.0,244.1,5.0,2476,24,15,0,0,-33.481976,145.973531
Lake Cowal,2018,9089.0,6362.3,70.0,26072,56,30,0,0,-33.62082,147.490024
Lake Mokoan,2018,2641.0,26.41,1.0,110,16,11,0,0,-36.47445,146.0622
Lindsay-Walpolla-Chowilla,2018,1518.0,1264.5,83.3,33314,167,35,603,0,-34.208817,140.673134
Lowbidgee floodplain,2018,2451.0,1856.3,75.74,7557,76,25,0,0,-34.557137,143.739969
Macquarie Marshes,2018,103327.0,10091.0,9.77,38359,15,15,0,0,-30.881156,147.609206
Menindee lakes,2018,28438.51,10069.51,36.24,49293,163,34,0,0,-32.337135,142.445179
Murray Channel,2018,568.3,437.64,38.14,762,41,18,0,0,-35.210694,143.035661
Murray River and Euston Lakes,2018,2880.0,1264.5,43.91,1539,38,14,0,0,-34.548423,142.8828
Noora Evaporation Basin,2018,5266.0,3949.5,75.0,5104,10,10,0,0,-34.421292,140.860762
Paroo overflow lakes complex,2018,3735.0,0.0,0.0,12,4,2,0,0,-30.504409,143.772719
Pyap Lagoon,2018,60.0,60.0,100.0,190,20,15,0,0,-34.387218,140.45303
Split Rock Reservoir,2018,640.0,256.0,40.0,1956,14,14,0,0,-30.551696,150.685754
Tallywalka System,2018,8301.2,0.0,0.0,0,6,1,0,0,-32.533228,143.329526
Tallywalka system,2018,2279.0,0.0,0.0,0,1,1,0,0,-32.31612,143.373407
Upper Darling River,2018,71969.0,1439.38,2.0,251,15,15,0,0,-30.517766,145.149521
Waranga Basin,2018,5285.0,4756.5,90.0,803,14,14,0,0,-36.550266,145.096117
Banrock Station Wetland,2020,300.0,240.0,80.0,337,27,19,634,22,-34.21194,140.3539
Barmah-Millewa,2020,1240.0,1176.0,94.84,424,33,14,0,1,-35.920925,123.315873
Booligal Wetlands,2020,984.0,638.0,64.89,43149,131,35,0,0,-33.935232,144.574901
Burrendong Dam,2020,6059.0,3635.0,60.0,67,7,7,0,0,-32.60889,149.1578
Coolmunda Dam,2020,1640.0,1640.0,100.0,1780,19,19,0,0,-28.42861,151.2258
"Coorong, Lower Lakes and Murray Mouth",2020,142289.5,142290.0,100.0,175031,264,43,24153,1085,-35.676392,139.27302
Corop wetlands complex,2020,1676.1,790.0,47.06,9051,44,15,0,2,-36.470184,144.829628
Currawinya Lakes,2020,6717.0,6191.0,92.16,42431,96,34,35,192,-28.721385,144.28245
Cuttaburra Channels,2020,20287.0,4386.0,21.62,12030,28,22,0,20,-30.471665,144.32555
Fivebough Swamp,2020,309.0,31.0,10.0,471,4,4,0,31,-34.5271,146.4408
Great Cumbung Swamp,2020,10042.0,2219.0,22.1,8347,82,33,17,0,-34.240765,144.041325
Gunbower-Koondrook-Perricoota,2020,9.0,1.0,16.11,33,14,7,0,0,-35.876714,144.405148
Gwydir Wetlands,2020,294.0,23.0,8.06,11278,58,22,0,0,-29.292175,149.338733
Hattah Lakes,2020,642.3,0.0,0.0,1252,34,15,0,0,-34.742806,142.37933
Kerang Wetlands,2020,3250.66,2219.0,68.24,14973,111,30,0,26,-35.628334,143.802229
Kiewa River,2020,3550.0,178.0,5.0,746,5,5,0,0,-36.44861,147.0556
Lake Brewster,2020,4882.0,4638.0,95.0,56101,57,32,67,4,-33.48361,146.0178
Lake Cowal,2020,12298.0,6362.0,51.73,114923,64,37,333,17,-33.56611,147.43725
Lake Mokoan,2020,2641.0,26.0,1.0,657,8,8,0,0,-36.47445,146.0622
Lindsay-Walpolla-Chowilla,2020,1573.0,1445.0,91.91,30189,186,38,788,1042,-34.192817,140.689514
Lowbidgee Floodplain,2020,1146.0,875.0,76.34,61447,90,31,21000,9,-34.521598,143.77755
Macquarie Marshes,2020,103327.0,15499.0,15.0,17853,22,22,0,337,-38.55,51.4
Menindee Lakes,2020,15002.51,14244.0,94.94,3635,158,31,0,3,-32.25869,142.544586
Murray River and Euston Lakes,2020,2880.0,1405.0,48.78,457,35,15,0,0,-34.54972,142.8799
Narran Lakes,2020,534.0,353.5,66.24,609,21,11,0,0,-29.725069,147.45278
Noora Evaporation Basin,2020,5266.0,527.0,10.0,529,11,11,0,7,-34.41306,140.8803
Paroo overflow lakes complex,2020,10365.0,9102.0,87.82,39510,185,29,2,88,-30.617423,143.774638
Pyap Lagoon,2020,60.0,60.0,100.0,71,15,12,0,0,-34.4125,140.4594
River Murray Channel,2020,883.6,486.0,54.98,472,45,15,1,1,-35.441834,141.92938
Split Rock Reservoir,2020,200.0,160.0,80.0,16,3,3,0,0,-30.5675,150.68
Tallywalka system,2020,10639.0,0.0,0.0,0,6,1,0,0,-32.503152,143.333033
Waranga Basin,2020,5285.0,4492.0,85.0,458,16,16,0,0,-36.550266,145.096117
Yantabulla ,2020,5660.0,566.0,10.0,15674,34,19,0,2,-29.29,144.9217
Banrock Station Wetland,2021,290.0,290.0,100.0,1069,30,19,650,3,-34.20722,140.3458
Barmah-Millewa,2021,4008.0,4008.0,100.0,383,27,16,35,12,-35.907063,144.985243
Barmah-Millewa ,2021,4008.0,4008.0,100.0,903,26,17,30,3,-35.907063,144.985243
Booligal Wetlands,2021,850.0,836.4,98.4,18184,98,33,21,12,-33.97382,144.559175
Burrendong Dam,2021,6059.0,5756.05,95.0,50,8,8,0,0,-32.60889,149.1578
Coolmunda Dam,2021,1640.0,1640.0,100.0,1083,25,25,0,1,-28.42861,151.2258
"Coorong, Lower Lakes and Murray Mouth",2021,142289.5,142289.5,100.0,128574,243,40,15631,328,-35.684056,139.20538
Corop wetlands complex,2021,1983.0,150.25,7.58,4106,44,17,0,3,-36.475591,144.840525
Currawinya Lakes,2021,6717.0,9000.0,74.32,179504,92,31,337,2180,-28.716665,144.28045
Cuttaburra Channels,2021,17468.0,0.0,0.0,1578,13,13,0,0,-30.43694,144.4489
Fivebough Swamp,2021,309.0,108.15,35.0,106,15,10,0,4,-34.53361,146.4278
Great Cumbung Swamp,2021,34934.7,17384.38,49.76,4512,64,29,5,49,-34.268887,144.036033
Gunbower-Koondrook-Perricoota,2021,12.0,12.0,100.0,12,6,3,0,0,-35.91324,144.455433
Gwydir Wetlands,2021,647.9,301.06,46.47,34113,162,33,0,7,-29.274688,149.310117
Hattah Lakes,2021,1219.9,1127.5,92.43,573,47,21,2,33,-34.735885,142.371225
Kerang Wetlands,2021,3377.95,2263.5,67.01,4552,100,30,3785,3,-35.61631,143.800014
Lake Brewster,2021,1332.0,1332.0,100.0,36308,59,32,999,113,-33.48361,146.0108
Lake Cowal,2021,9089.0,9089.0,100.0,27183,56,32,9256,27,-33.60333,147.4756
Lake Mokoan,2021,2641.0,924.35,35.0,2178,20,20,36,3,-36.47445,146.0622
Lindsay-Walpolla-Chowilla,2021,1603.0,1515.5,94.54,15463,138,32,1041,31,-34.219752,140.68775
Lowbidgee Floodplain,2021,2451.0,2451.0,100.0,11043,92,30,1260,7,-34.557388,143.7491
Macquarie Marshes,2021,103327.0,44124.0,42.7,32176,22,22,187,90,-31.12722,147.5508
Menindee Lakes,2021,29252.51,29051.71,99.31,4428,162,29,0,0,-32.342832,142.44971
Murray River and Euston Lakes,2021,2880.0,1405.0,48.78,133,19,12,0,0,-34.54972,142.8799
Narran Lakes,2021,5473.0,257.4,4.7,2387,27,16,0,0,-29.81611,147.7074
Noora Evaporation Basin,2021,5266.0,52.66,1.0,691,7,7,0,2,-34.41306,140.8803
Paroo overflow lakes complex,2021,10561.0,7045.7,66.71,31855,166,34,0,106,-30.608636,143.77235
Pyap Lagoon,2021,60.0,60.0,100.0,242,17,11,0,0,-34.4125,140.4594
River Murray Channel,2021,730.5,725.51,99.32,1001,35,15,0,28,-35.220512,143.040453
Split Rock Reservoir,2021,200.0,180.0,90.0,160,8,8,0,0,-30.5675,150.68
Upper Darling River,2021,71969.0,719.69,1.0,786,21,18,0,1,-30.56417,145.0189
Waranga Basin,2021,5285.0,5285.0,100.0,124,9,9,0,0,-36.54861,145.1006
Yantabulla ,2021,37200.0,372.0,1.0,0,1,1,0,0,-29.31833,144.9692
Banrock Station Wetland,2022,290.0,348.0,120.0,454,15,11,134,0,-34.20722,140.3458
Barmah-Millewa,2022,3984.0,3984.0,100.0,617,35,13,368,6,-35.881922,144.968312
Booligal Wetlands,2022,255676.67,153406.0,60.0,151964,39,35,151519,64857,-33.943,144.624
Burrendong Dam,2022,6059.0,7876.7,130.0,20,4,4,0,0,-32.60889,149.1578
Coolmunda Dam,2022,1640.0,1640.0,100.0,533,11,11,0,0,-28.42861,151.2258
"Coorong, Lower Lakes and Murray Mouth",2022,142289.5,144149.8,101.31,113271,199,34,41080,357,-35.684056,139.20538
Corop Wetlands Complex,2022,2131.0,2131.0,100.0,2647,78,24,16,22,-36.47455,144.840638
Currawinya Lakes,2022,6598.0,4809.25,72.89,22157,62,26,15427,20,-28.711525,144.2718
Cuttaburra Channels,2022,5788.0,3472.8,60.0,68,4,3,0,0,-30.43694,144.4489
Darling Anabranch,2022,27098.9,23186.76,85.56,11334,83,24,306,10,-33.333666,141.83588
Fivebough Swamp,2022,541.0,430.9,79.65,1286,44,23,523,83,-34.5116,146.394355
Great Cumbung Swamp,2022,34934.7,5226.64,90.16,2123,46,25,4,19,-34.283252,144.018294
Gunbower-Koondrook-Perricoota,2022,59358.0,59358.0,100.0,880,8,8,0,0,-35.805,144.336
Gwydir Wetlands,2022,537.0,679.5,126.54,28848,64,29,16264,280,-29.235574,149.288488
Hattah Lakes,2022,998.3,817.3,81.87,238,42,13,67,2,-34.737134,142.372783
Kerang Wetlands,2022,3568.95,3770.56,105.65,13101,66,21,9567,3,-35.621111,143.808625
Kiewa River,2022,3550.0,355.0,10.0,228,9,9,0,0,-36.44861,147.0556
Lake Albacutya,2022,5741.0,287.05,5.0,0,1,0,0,0,-35.77444,141.9911
Lake Brewster,2022,1332.0,1731.6,130.0,1877,25,17,13,45,-33.48361,146.0108
Lake Buloke,2022,4354.0,2830.1,65.0,544,23,14,5,3,-36.26778,142.9472
Lake Cowal,2022,12298.0,14115.8,114.78,5113,71,29,17106,15,-33.56611,147.43725
Lake Hindmarsh,2022,13501.0,12826.0,95.0,1133,22,22,7,0,-35.97805,141.905
Lake Mokoan,2022,2641.0,1320.5,50.0,476,17,14,0,20,-36.47445,146.0622
Lindsay-Walpolla-Chowilla,2022,1663.0,1827.2,109.87,4383,83,25,221,17,-34.220507,140.692617
Lowbidgee Floodplain,2022,2174.3,2174.3,100.0,89644,84,35,51984,93,-34.574028,143.754425
Macquarie Marshes,2022,103327.0,722270.0,71.33,305373,60,35,65397,3675,-31.12722,147.5508
Menindee Lakes,2022,40872.51,40143.76,98.22,21360,175,26,2018,9,-32.340637,142.45024
Mulwala,2022,3432.0,3432.0,100.0,380,7,7,228,4,-35.98167,146.0347
Murray River and Euston Lakes,2022,2880.0,2370.75,82.32,190,21,15,0,0,-34.54972,142.8799
Narran Lakes,2022,6332.5,7974.25,125.93,37616,95,32,47561,471,-29.763797,147.426767
Noora Evaporation Basin,2022,5266.0,3422.9,65.0,89,4,4,0,1,-34.41306,140.8803
Paroo Overflow Lakes Complex,2022,10448.0,7031.45,67.3,5086,129,31,81,10,-30.607021,143.766538
River Murray Channel,2022,832.6,1968.0,236.37,262,40,17,0,1,-35.217439,143.045033
Split Rock Reservoir,2022,200.0,200.0,100.0,119,7,7,0,0,-30.5567,150.6925
Talywalka System,2022,10674.9,1898.96,17.79,1536,44,26,5,0,-32.505138,143.333367
Upper Darling River,2022,71969.0,14393.8,20.0,261,13,10,0,0,-30.56417,145.0189
Waranga Basin,2022,5285.0,5285.0,100.0,1087,22,14,0,1,-36.54861,145.1006
Yantabulla,2022,37200.0,3720.0,10.0,40,11,8,0,1,-29.31833,144.9692
Banrock Station Wetland,2023,290.0,261.0,90.0,5557,32,19,428,0,-34.1968,140.3379
Barmah-Millewa,2023,3173.0,3173.0,100.0,5558,104,26,888,9,-35.882171,144.969614
Booligal Wetlands,2023,1411.0,1103.25,78.19,37482,166,32,0,2,-33.943467,144.557183
Burrendong Dam,2023,6059.0,3635.4,60.0,193,11,11,0,0,-32.6824,149.1834
Coolmunda Dam,2023,1640.0,1640.0,100.0,1012,17,17,0,0,-28.4363,151.2346
"Coorong, Lower Lakes and Murray Mouth",2023,142289.5,142289.5,100.0,493718,311,46,13542,2516,-35.69494,139.22838
Corop Wetlands Complex,2023,1817.0,1748.5,96.23,31366,158,34,0,2,-36.472971,144.834514
Currawinya Lakes,2023,6598.0,2785.0,42.21,62670,28,20,0,0,-28.7097,144.2847
Cuttaburra Channels,2023,5788.0,0.0,0.0,0,1,1,0,0,-30.5023,144.2425
Darling Anabranch,2023,27098.9,21273.81,78.5,115759,111,29,473,0,-33.28052,141.84144
Fivebough Swamp,2023,541.0,108.2,20.0,9774,30,21,0,0,-34.5061,146.392
Great Cumbung Swamp,2023,33644.35,6750.6,20.06,56314,105,32,6,70,-34.231025,143.998375
Gunbower-Koondrook-Perricoota,2023,12.0,8.4,70.0,624,17,9,0,0,-35.862867,144.400133
Gwydir Wetlands,2023,862.0,204.1,23.68,5803,65,24,0,0,-29.268214,149.297814
Hattah Lakes,2023,1831.5,1819.01,99.32,1759,116,23,70,0,-34.736308,142.370683
Kerang Wetlands,2023,3568.95,3314.03,92.86,59888,200,37,1651,3,-35.623562,143.813038
Kiewa River,2023,3550.0,177.5,5.0,1467,13,13,0,0,-36.5137,147.0765
Lake Albacutya,2023,5741.0,0.0,0.0,0,1,1,0,0,-35.752,141.9553
Lake Brewster,2023,1332.0,799.2,60.0,32106,57,30,6201,0,,
Lake Buloke,2023,4354.0,2612.4,60.0,41230,42,19,0,2,-36.2457,142.9762
Lake Cowal,2023,12298.0,10747.3,87.39,47324,118,39,0,2,-33.56405,147.4353
Lake Hindmarsh,2023,13501.0,10800.8,80.0,17313,52,29,0,0,-36.0523,141.9044
Lake Mokoan,2023,2641.0,1320.5,50.0,6078,23,23,18,1,-36.4577,146.0911
Lindsay-Walpolla-Chowilla,2023,1663.0,1547.6,93.06,52469,154,36,412,0,-34.208833,140.672717
Lowbidgee Floodplain,2023,2424.3,2184.64,90.11,5016,105,34,13,1,-34.55692,143.74468
Macquarie Marshes,2023,103327.0,5166.35,5.0,27437,46,26,0,0,-30.9398,147.6047
Menindee Lakes,2023,40872.51,38050.47,93.1,59944,351,38,3204,0,-32.32848,142.46187
Mulwala,2023,3432.0,3260.4,95.0,1080,15,15,106,2,-36.005,146.0884
Murray River and Euston Lakes,2023,2880.0,1847.5,64.15,1468,46,20,0,0,-34.549867,142.882667
Narran Lakes,2023,6332.5,4539.6,71.69,105411,56,29,167,0,-29.7743,147.4174
Noora Evaporation Basin,2023,5266.0,2106.4,40.0,590,9,9,0,0,-34.4215,140.8565
Paroo Overflow Lakes Complex,2023,10448.0,5048.05,48.32,145477,137,35,216,0,-30.6168,143.772675
Pyap Lagoon,2023,60.0,30.0,50.0,485,31,16,0,0,-34.3997,140.4537
River Murray Channel,2023,832.6,478.36,57.45,2454,76,18,0,0,-35.21182,143.03294
Split Rock Reservoir,2023,200.0,200.0,100.0,2143,9,9,0,0,-30.5503,150.6857
Talywalka System,2023,10674.9,2908.46,27.25,33514,86,28,140,0,-32.497367,143.33655
Upper Darling River,2023,71969.0,71.97,0.1,1131,29,19,0,0,-30.4982,145.1164
Waranga Basin,2023,5285.0,5285.0,100.0,1867,20,17,0,0,-36.5506,145.0943
Yantabulla,2023,37200.0,0.0,0.0,0,1,1,0,0,-29.2499,144.906
